frame,support_len,confidence_sum
1066,9,8.180174
1067,9,8.467228
1068,10,9.174270
1069,9,8.216971
1070,11,10.802601
1071,10,9.836540
1072,9,8.864285
1073,10,9.892387
1074,9,8.895685
1075,9,8.805529
1076,10,9.900990
1077,9,8.914080
1078,9,7.970526
1079,10,8.882247
1080,9,8.568890
1081,9,8.394419
1082,9,7.905766
1083,9,8.492231
1084,9,8.720364
1085,10,9.742475
1086,9,8.754239
1087,10,9.827815
1088,9,8.767206
1089,9,8.819633
1090,9,8.773480
1091,11,10.757377
1092,9,8.827619
1093,9,8.000000
1094,9,8.742501
1095,10,9.822552
1096,9,8.794356
1097,9,8.819585
1098,9,8.833227
1099,10,9.810098
1100,9,8.786758
1101,9,8.710339
1102,10,9.823857
1103,9,8.821671
1104,10,9.078541
1105,9,8.191322
1106,9,8.507254
1107,9,8.020432
1108,9,8.766609
1109,10,9.803465
1110,9,8.864831
1111,9,8.738937
1112,9,8.848058
1113,9,8.789599
1114,9,7.867756
1115,9,8.553119
1116,10,9.814566
1117,9,8.849354
1118,9,8.662572
1119,9,8.864647
1120,9,8.010112
1121,9,8.764635
1122,9,8.782230
1123,9,8.871803
1124,9,8.849040
1125,10,9.847373
1126,9,8.878733
1127,9,8.836852
1128,9,8.514616
1129,9,8.893218
1130,9,8.862979
1131,9,8.008683
1132,9,8.834377
1133,9,8.787697
1134,9,8.414558
1135,10,9.136701
1136,9,8.148215
1137,10,9.652276
1138,10,9.651894
1139,10,9.639950
1140,12,11.570313
1141,8,7.709021
1142,10,9.633231
1143,10,9.633231
1144,10,9.635109
1145,10,9.653348
1146,10,9.665062
1147,10,9.608101
1148,10,9.618228
1149,10,9.616704
1150,10,9.669211
1151,10,9.815215
1152,10,9.638662
1153,10,9.630002
1154,10,9.650251
1155,10,9.636792
1156,10,9.648296
1157,10,9.656941
1158,10,9.672325
1159,10,9.672550
1160,10,9.683425
1161,10,9.682875
1162,10,9.708528
1163,10,9.853875
1164,10,9.862591
1165,10,9.874104
1166,10,9.876154
1167,9,8.920922
1168,9,8.275074
1169,9,8.738027
1170,9,8.890457
1171,9,8.884397
1172,9,8.935007
1173,9,7.994256
1174,9,8.899755
1175,9,8.846555
1176,9,8.900624
1177,9,8.849696
1178,9,8.921438
1179,10,9.920344
1180,9,8.835656
1181,9,8.812449
1182,9,8.902651
1183,9,8.912611
1184,9,8.002570
1185,9,8.657961
1186,9,8.690828
1187,10,9.869221
1188,9,8.902301
1189,9,8.886262
1190,9,8.770312
1191,9,8.885327
1192,9,8.878331
1193,9,8.912533
1194,10,9.852571
1195,9,8.839457
1196,9,7.705077
1197,9,7.558719
1198,9,8.840289
1199,10,9.845475
1200,9,8.860003
1201,10,9.848462
1202,9,8.864935
1203,9,8.868460
1204,10,9.832515
1205,9,8.846384
1206,9,8.906683
1207,9,8.874202
1208,10,9.879865
1209,9,8.854112
1210,9,8.864833
1211,9,7.972993
1212,10,9.738338
1213,9,8.773989
1214,9,8.872105
1215,9,8.756342
1216,10,9.718388
1217,9,8.780282
1218,10,9.652372
1219,9,8.833163
1220,9,8.884638
1221,9,8.884498
1222,9,8.004314
1223,5,4.380043
1224,10,9.633065
1225,9,8.243589
1226,9,7.975314
1227,11,10.841503
1228,8,7.848431
1229,9,8.837747
1230,10,9.853874
1231,9,8.886967
1232,10,9.872549
1233,10,9.834089
1234,9,8.871948
1235,9,8.265573
1236,10,9.029270
1237,9,8.291243
1238,9,8.235907
1239,10,9.311092
1240,9,8.722195
1241,10,9.685393
1242,9,8.738201
1243,10,8.897693
1244,9,8.014409
1245,10,9.670702
1246,9,8.696199
1247,10,9.685039
1248,9,8.749834
1249,10,9.694820
1250,9,8.546996
1251,9,8.736577
1252,10,9.661577
1253,9,8.666292
1254,10,8.127643
1255,9,7.293001
1256,10,8.074883
1257,9,7.259914
1258,10,8.097077
1259,10,8.095290
1260,9,7.288550
1261,10,8.092133
